	Control.A01	Control.A02	Control.A03	Control.A04	Control.A05	Control.A06	Control.A07	Control.A08	Control.A09	Control.A10	Control.A11	Control.A12	Control.A13	Control.A14	Control.A15	Control.A16	Control.A17	Control.A18	Control.A19	Control.A20	Control.A21	Control.A22	Control.A23	Control.A24	Control.A25	Control.A26	Control.A27	Control.A28	Control.C01	Control.C02	Control.C03	Control.C04	Control.C05	Control.C06	Control.C07	Control.C08	Control.C09	Control.C10	Control.C11	Control.C12	Control.C13	Control.C14	Control.C15	Control.C17	Control.C18	PsO.A01	PsO.A02	PsO.A03	PsO.A04	PsO.A05	PsO.A06	PsO.A07	PsO.A08	PsO.A09	PsO.A10	PsO.A11	PsO.A12	PsO.A13	PsO.A14	PsO.A15	PsO.A16	PsO.A17	PsO.A18	PsO.A19	PsO.A20	PsO.A21	PsO.A22	PsO.A23	PsO.A24	PsO.A25	PsO.A26	PsO.A27	PsO.A28	PsO.C03	PsO.C04	PsO.C05	PsO.C06	PsO.C07	PsO.C08	PsO.C09	PsO.C10	PsO.C11	PsO.C12	PsO.C14	PsO.C15	PsO.C16	PsO.C17	PsO.C18	PsO.C19	PsO.C20	PsO.C21	PsO.C22	PsO.C23	PsO.C24	PsO.C25	PsO.C26	PsO.C27	PsO.C28	PsO.C29	PsO.C30	PsO.C31	PsO.C32	PsO.C33	PsO.C34	PsO.C35	PsO.C36	PsO.C37	PsO.C38	PsO.C39	PsO.C40	PsO.C41	PsO.C42	PsO.C43	PsO.C44	PsO.C45	PsO.C46	PsO.C47	PsO.C48	PsO.C49	PsO.C50	PsO.C51	PsO.C52	PsO.C53	PsO.C54	PsO.C55	PsO.C56	PsO.C57	PsO.C58	PsO.C59	PsO.C60	PsO.C61	PsO.C62	PsO.C63	PsO.C64	PsO.C65	PsO.C66	PsO.C67	PsO.C68	PsO.C69	PsO.C70	PsO.C71	PsO.C72	PsO.C73
PWY0-1061: superpathway of L-alanine biosynthesis	0.000404691	0.0025559	0.000466119	0.000608358	0.000508202	0.000176643	0.000367254	0.000380323	0.00014521	0.000101868	6.40E-05	9.54E-05	0.00034655	0.000140601	0.000501058	0.00050786	0.000937497	5.76E-05	0.000667446	1.24E-05	0.00108678	0.000931813	0.000520724	0.000123775	0.00027076	0.000128745	0.000467983	1.81E-05	0.000112444	0.000396354	0.000642037	0.00328966	0.000381733	0.0012729	0.000830691	0.000210823	6.93E-05	8.94E-05	0.000292875	0.000603645	0.000535986	0.000835818	0.000103705	0.000162329	0.000488258	0.000236202	0.00125611	0.000649575	0.00142911	0.000109477	0.00100166	1.85E-05	9.70E-05	0.000567621	0.000374145	3.54E-05	0.000370875	0.000539164	0.00131806	0.000470552	4.82E-05	0.000385216	0.000367484	9.05E-05	4.07E-05	0.000381551	7.12E-05	0.000732288	0.00146162	0.00116527	0.00173386	0.00175155	0.00113127	0.000618523	0.00345958	0.000203902	0.000473197	0.00016348	8.80E-05	0.000926221	0.00086891	0.000415976	0.00140089	0.000525374	1.97E-05	0.000245452	0.000108752	0.000797052	5.43E-05	9.43E-05	0.00112423	0.000381228	0.00121582	0.000280732	8.42E-05	0.000215128	0.000211543	0.000165934	0.000261588	0.000467549	0.00022956	0.00062335	0.000189479	0.000775764	0.000447452	0.000662312	0.000421701	0.000606734	0.000284101	0.000104167	0.00513004	0.00056154	0.000803251	0.000889401	0.00107031	0.000646058	0.000601706	0.000673946	0.00144491	0.000755288	0.00207792	0.00135678	0.000426718	8.25E-05	6.29E-05	0.000415429	0.000232647	0.00101103	0.00139279	0.00257955	0.000552754	0.00124152	0.00115905	0.000563554	0.00152685	0.000815687	0.000858725	0.00157175	7.03E-05	0.00114895	0.000380209	0.00103481	0.000221542
PWY0-1221: putrescine degradation II	0.000120834	3.78E-06	5.73E-05	3.37E-05	1.02E-06	7.50E-05	1.35E-05	0	0	0	1.26E-05	0	1.31E-05	0	0	6.40E-05	0	0	9.52E-05	2.71E-06	0	2.46E-05	0	0	7.75E-06	1.21E-05	4.36E-05	0	8.82E-06	1.34E-05	4.33E-05	0.000291825	6.33E-05	0	2.37E-05	1.97E-05	5.49E-06	1.58E-05	6.48E-06	3.40E-05	6.15E-05	3.76E-06	5.45E-06	5.16E-06	7.22E-06	9.13E-06	0	2.91E-05	0	1.01E-05	0	5.37E-06	0	3.06E-05	5.02E-05	0	4.23E-05	0	2.89E-06	0	0	1.33E-05	0	0	5.72E-06	4.64E-05	6.45E-06	5.57E-06	0.000910981	1.88E-05	3.18E-05	2.66E-05	4.30E-06	0.000285031	1.35E-05	0	7.74E-06	3.88E-06	3.17E-06	0	8.17E-05	3.77E-06	0.000271813	2.25E-06	4.05E-06	6.41E-06	0	0.000291752	4.03E-06	5.72E-06	0	3.97E-06	0	0.000267345	0	6.49E-06	0	0	0	0	2.28E-05	0.000224338	2.05E-05	9.00E-05	4.32E-06	0.000129937	3.55E-06	0	2.60E-05	0	2.12E-06	1.33E-05	0.000111234	2.00E-06	4.45E-05	5.71E-05	0.000234739	1.55E-06	0.000482732	0	2.04E-06	8.88E-05	4.53E-05	9.77E-06	1.08E-05	7.79E-05	6.38E-06	0.00010966	0.000114166	2.62E-06	0.000270466	8.66E-05	0	1.16E-05	2.38E-05	0	0	4.81E-06	1.07E-05	1.24E-05	3.23E-06	2.33E-06	1.93E-05
PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis	0.000502819	0.000304649	0.000897556	0.000461526	0.00148348	0.00114552	0.000743485	0.000566251	0.000628727	0.000785536	0.00052535	0.000673286	0.000882865	0.00106129	0.000435426	0.000965981	0.000249907	0.000881171	0.000430058	0.000791827	0.00120361	0.000942907	0.000470428	0.000729679	0.0010171	0.00100506	0.00144666	0.00158414	0.000743467	0.000885143	0.001106	0.0021187	0.000586738	0.00117585	0.000362986	0.000588518	0.000437512	0.000504425	0.000645148	0.00099848	0.00124295	0.000480578	0.000799158	0.000351806	0.000212044	0.00119431	0.00108066	0.00113842	0.000839172	0.00114492	0.00106725	0.000680041	0.000596111	0.00031191	0.000657849	0.000652039	0.000549601	0.00021941	0.000621795	0.000250438	0.000810828	0.000959477	0.000384155	0.000512136	0.00070637	0.000321604	0.000443826	0.000646267	0.00189802	0.000464236	0.000619556	0.000381653	0.000564076	0.000942304	8.59E-05	0.000596592	0.000655142	0.000232214	0.000555485	0.000752237	0.000940863	0.000807139	0.000795616	0.000576826	0.00071372	0.000910231	0.000742445	0.00118289	0.000534578	0.000814387	0.00111103	0.000948299	0.000563983	0.00073591	0.00056791	0.000419092	0.000249274	0.000491867	0.000628219	0.00146571	0.000493141	0.00110559	0.000710114	0.000755485	0.0010822	0.00141926	0.000978242	0.000931775	0.00102978	0.000278667	0.000337208	0.000697577	0.00114043	0.000526273	0.000842378	0.00128367	0.000772474	0.00106563	0.00107703	0.00091383	0.00120654	0.000800585	0.000585284	0.00120919	0.000166162	0.000882186	0.000855536	0.000566031	0.00106456	0.000583506	0.000827836	0.000404097	0.000361976	0.000824676	0.000612613	0.000680467	0.000227609	0.00020703	0.00138137	0.000902914	0.000696483	0.0012206	0.000442956
PWY0-1261: anhydromuropeptides recycling I	0.00142217	0.000936704	0.00197161	0.00116646	0.00289118	0.00157813	0.00091746	0.00253438	0.0009327	0.00151286	0.00115085	0.00181504	0.00210573	0.000934047	0.00105649	0.00201949	0.000570668	0.000773855	0.00103193	0.00152845	0.00137205	0.00142051	0.00125344	0.00334006	0.00126276	0.0016282	0.00190013	0.00317462	0.00120591	0.000359386	0.00208916	0.00370963	0.00125909	0.00242179	0.00116585	0.000919817	0.00049544	0.000881396	0.00165402	0.00161904	0.00117194	0.000557398	0.000556651	0.000713147	0.000590709	0.00206931	0.00109092	0.00139521	0.00147709	0.00215749	0.00151275	0.00185536	0.00053304	0.000548094	0.000863859	0.000910833	0.000955005	0.00115651	0.000876073	0.000690132	0.00136977	0.0021509	0.000703648	0.00121937	0.000534626	0.00096617	0.00102045	0.00218481	0.00230182	0.00117838	0.00166796	0.00190916	0.00108381	0.0021228	0.000275868	0.000340215	0.00136305	0.000302324	0.0011727	0.00152636	0.00205449	0.00213647	0.00202039	0.00167328	0.00144158	0.00129172	0.00126938	0.00185073	0.00135717	0.00187086	0.00190984	0.00170024	0.000844367	0.00133433	0.00135071	0.00101737	0.000371487	0.00081621	0.00177762	0.00232469	0.00161352	0.0014276	0.0011215	0.00189631	0.00331545	0.00160145	0.00347742	0.00169722	0.00310732	0.00031702	0.000773477	0.00158582	0.00187392	0.00108013	0.0020027	0.00141985	0.00200423	0.00147446	0.00256257	0.00162724	0.00269089	0.00184044	0.00116452	0.00218613	0.00156899	0.00184323	0.00163321	0.000988722	0.00184447	0.000603931	0.00249385	0.00109659	0.000402615	0.00056871	0.00216978	0.00195706	0.000545321	0.00103162	0.00114196	0.00137834	0.0018316	0.00183321	0.000941009
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	0.000634406	0.000116862	0.000894716	0.000304373	6.41E-05	0.000192006	8.63E-05	1.65E-05	9.40E-06	0.000221161	0.00012632	0	0.000125022	9.21E-05	2.45E-05	0.000525054	0	0	0.00029794	1.32E-05	3.32E-05	7.17E-05	0	0	0.000169283	0.000129803	0.000610125	0	0.000222857	7.57E-05	0.000544633	0.002137	0.000211889	0.000802265	0.000362386	0.000186429	2.98E-05	0.000144809	0.000196418	0.000186567	0.000542166	0.000137134	0	0.000156966	0.000125652	0.000388635	0	0.000537197	0	0.000104946	0.000551185	1.76E-05	0	6.04E-05	0.000328847	0	0.000283764	6.24E-06	2.16E-05	0	0.000106097	0.000417943	0	0	5.76E-05	0.000585942	4.02E-05	0.000156478	0.00175189	0.000113089	0.000241583	0.000360865	0.000221906	0.00124744	6.47E-05	1.69E-05	6.87E-05	7.75E-05	1.95E-05	0.000334281	0.000700429	4.38E-05	0.000673903	5.71E-05	2.32E-05	0.000118057	0	0.000705429	0.000153246	0.000185577	8.49E-05	0.00012055	1.57E-05	0.000362005	9.52E-05	8.72E-05	1.31E-05	4.00E-05	0	0	0.00012848	0.00069305	0.000298239	0.000758508	8.40E-05	0.000867447	4.97E-05	0.000214512	0.000436348	0	2.10E-05	9.75E-05	0.00106727	0.000197849	0.000179092	0.000742871	0.000739614	0.000205312	0.0018191	3.29E-05	2.64E-05	0.000527597	0.000263888	8.79E-05	0.000130902	0.000629084	0.000179273	0.000325936	0.00114397	0	0.000729474	0.00030793	0	0.000161775	0.000273663	0	0	0.000247744	2.76E-05	0.000173744	6.66E-05	5.02E-05	0.0001973
PWY0-1296: purine ribonucleosides degradation	0.00345317	0.00641366	0.00479788	0.00598712	0.0066279	0.00369932	0.00596517	0.00442255	0.00846615	0.00517024	0.00743271	0.00533369	0.00650136	0.00484225	0.00404334	0.00528255	0.00680677	0.00490881	0.00325439	0.00368526	0.00552621	0.00494446	0.00314813	0.00395774	0.00763954	0.00443345	0.00398893	0.00378152	0.0029541	0.00389557	0.00424596	0.00396871	0.00685605	0.00505331	0.00567523	0.00667441	0.005167	0.00418722	0.00305687	0.00747514	0.0020941	0.00527167	0.00240293	0.00388155	0.00740394	0.00339072	0.00840769	0.00377305	0.00337767	0.00675508	0.00460612	0.00300412	0.00823611	0.0026524	0.00325896	0.00396891	0.00394193	0.00884895	0.00917506	0.00409511	0.00321076	0.00489036	0.00497349	0.00564972	0.00494663	0.0047694	0.00341366	0.00472335	0.00568037	0.00669002	0.00730995	0.0108771	0.00558321	0.00383503	0.00193643	0.00371651	0.00492556	0.00261637	0.00668996	0.00372014	0.00537584	0.00725409	0.00572802	0.00621604	0.0083488	0.00252404	0.00344019	0.00324853	0.00318561	0.00628331	0.00479898	0.00386431	0.00490988	0.00359855	0.00532836	0.00762784	0.00336331	0.00679079	0.00576483	0.00556385	0.00539205	0.00789007	0.0024	0.0049958	0.00572384	0.00309169	0.00669294	0.00578055	0.00500101	0.00321127	0.0101296	0.00533519	0.00459525	0.00545046	0.00751636	0.00372116	0.00405582	0.00522239	0.00446735	0.00377226	0.00894005	0.00749088	0.00489554	0.0046538	0.0103546	0.00442651	0.00654643	0.00387439	0.00410077	0.0079855	0.004459	0.00697451	0.00716852	0.00573347	0.00740592	0.00580682	0.00355469	0.00750379	0.00768269	0.00751788	0.00396974	0.00551097	0.00531072
PWY0-1297: superpathway of purine deoxyribonucleosides degradation	0.00220811	0.000452975	0.00282603	0.00105028	0.000885239	0.00105555	0.000724442	0.000167801	0.00100403	0.000900465	0.000517774	0.000312149	0.000375392	0.000587501	0.000257591	0.00136137	0.00049937	5.69E-05	0.000666188	0.000126647	0.000659999	0.000270243	0.000182299	0.000186696	0.00068581	0.00074878	0.0023877	0.000197791	0.00107265	0.000246284	0.0019064	0.00384467	0.000948699	0.00209872	0.00114181	0.000578623	0.000278954	0.000666356	0.000621862	0.000617692	0.00155171	0.000365744	0.000189136	0.000478821	0.0010913	0.0015125	0.000310231	0.00199737	0.000532159	0.000442338	0.00195585	0.000453256	0.000322465	0.000312756	0.00167987	0.000902139	0.000837526	0.00056468	0.000225333	0.000168034	0.00110465	0.000957734	0.000210531	0.000335241	0.000228694	0.00316582	0.000592749	0.00083807	0.00377693	0.000747925	0.000653161	0.00110183	0.000662947	0.00285829	0.000285013	0.000927276	0.000685228	0.000720309	0.000326641	0.00135425	0.00187746	0.000723942	0.00215247	0.00058739	0.000501502	0.000463847	0.000293465	0.0019739	0.000995472	0.00118168	0.000321522	0.000828027	0.000341001	0.00114625	0.00047741	0.000277772	5.61E-05	0.000669083	0.000284103	0.000554387	0.000740909	0.00240716	0.000686153	0.00266458	0.00037949	0.0018312	0.000429441	0.000802905	0.0016004	0.000118639	0.000664104	0.000274289	0.00237298	0.00091514	0.000717488	0.00199236	0.0021606	0.000989917	0.00320737	0.000574881	0.000604095	0.00158049	0.000675284	0.000526102	0.000465541	0.00190818	0.000567834	0.000711327	0.00270982	0.000455578	0.00269998	0.00111394	0.00205374	0.000682371	0.00105681	0.000314352	0.000133964	0.00112913	0.00123212	0.000682645	0.000505132	0.000281124	0.000789112
PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation	0.00162873	0.000671706	0.00184432	0.00073864	0.000854836	0.000639196	0.00051213	0.000117	9.18E-05	0.000719903	0.000336176	0.000312687	0.000568646	0.000349238	0.000124715	0.00078926	0.000182419	9.16E-05	0.000516157	0.000108294	0.000364809	0.000399248	0.000110644	7.72E-05	0.000306918	0.000333021	0.00215325	0.000254886	0.000792859	0.000374878	0.0013624	0.00341189	0.000857291	0.00167486	0.000718587	0.00119931	0.000455541	0.000624575	0.000674154	0.000486827	0.00133872	0.000270786	0.000116401	0.000289614	0.000381101	0.00111946	0.000234107	0.00151518	0.000105947	0.00029018	0.00154177	0.000379259	0	0.000123676	0.00107822	0.000574344	0.000631415	0.000659948	0.000148426	3.80E-05	0.000521091	0.000660583	0.000147991	0.000160974	0.000346679	0.00197156	0.000249287	0.00065347	0.00328688	0.000266984	0.000558182	0.000810494	0.000589945	0.00215504	0.000359089	0.000360705	0.00112174	0.000678135	0.000128727	0.00165271	0.00139959	0.000184004	0.00161144	0.000176673	0.000164833	0.000314664	8.35E-05	0.0014914	0.000770404	0.000669108	0.000250366	0.00110474	0.000154121	0.000860431	0.00035285	0.000229483	9.38E-06	0.000164382	0.000257803	0.000283341	0.000390957	0.00183426	0.000757155	0.00214502	0.000337011	0.00140095	0.000773315	0.000576273	0.00137362	5.58E-05	0.000211785	0.000374206	0.00191236	0.000817119	0.000814413	0.00157613	0.00175406	0.000736593	0.00281412	0.000157407	0.000193139	0.00112343	0.00154674	0.000268535	0.000735909	0.00147087	0.000741743	0.000577538	0.00221486	0.000222884	0.00214963	0.000812597	0.000195268	0.000603416	0.000755513	0.000264791	4.15E-05	0.000692635	0.000456799	0.00183563	0.000256104	0.000251413	0.00075703
PWY0-1319: CDP-diacylglycerol biosynthesis II	0.00939844	0.00930401	0.00795481	0.00707368	0.00881693	0.00895154	0.00659579	0.0098142	0.0113625	0.00767719	0.0101066	0.0101038	0.0094155	0.010289	0.0056035	0.00874553	0.00527552	0.00839494	0.0060166	0.0106503	0.00870047	0.0116804	0.00586901	0.00978151	0.0079023	0.00948425	0.00789334	0.0107945	0.0103702	0.00538003	0.00683772	0.00382044	0.0104062	0.00660612	0.00742809	0.0105252	0.0085775	0.0112001	0.00825323	0.00996572	0.00787323	0.00679657	0.00432253	0.00585603	0.00773264	0.00777816	0.00830585	0.00829915	0.00592748	0.00945082	0.0077544	0.00981072	0.0089728	0.0102678	0.0107781	0.0100659	0.00716848	0.00995212	0.0090544	0.00804715	0.0113216	0.00851618	0.00731789	0.00918586	0.0104351	0.00956883	0.00924005	0.00918921	0.00647338	0.00942341	0.00951178	0.00730597	0.00815696	0.00659624	0.0019967	0.0122846	0.00915091	0.0106783	0.00899832	0.00750961	0.00604189	0.0102414	0.00762441	0.0100721	0.0109852	0.0108718	0.0097879	0.00824025	0.0094095	0.00956103	0.00966506	0.0080102	0.00798932	0.00788127	0.00941809	0.00990293	0.00350099	0.00869702	0.010107	0.00957073	0.00859392	0.00679217	0.0100059	0.00482832	0.011868	0.00741922	0.00908597	0.0092501	0.0076551	0.00429905	0.0090825	0.00796357	0.00773006	0.0111563	0.00810616	0.00746559	0.00684646	0.00880119	0.00438726	0.00813826	0.00872574	0.00775184	0.00864498	0.00920673	0.0120261	0.00715783	0.00901551	0.00844616	0.00443263	0.00968204	0.00772407	0.00923841	0.00859272	0.00908356	0.00968118	0.010118	0.00571882	0.00959793	0.0106111	0.00904151	0.00912185	0.0100392	0.00919613
PWY0-1337: oleate &beta;-oxidation	0.000293806	2.35E-05	0.000146811	5.81E-05	5.36E-05	4.73E-05	1.52E-05	0	0	4.63E-05	1.13E-05	0	2.04E-05	9.64E-05	0	9.34E-05	0	6.53E-06	8.52E-05	8.21E-06	0.000129705	3.02E-05	0	0	1.75E-05	2.53E-05	0.00023663	4.07E-06	0.000169988	4.06E-05	0.00021525	0.00198008	0.000119148	0.00018436	0.000130758	5.81E-05	1.06E-05	1.65E-05	4.26E-05	2.93E-05	0.000142264	2.40E-05	2.60E-05	1.11E-05	1.80E-05	0.000194845	0	0.00032385	1.40E-05	2.79E-05	0.000985471	1.25E-05	0	0	3.53E-05	0	0.000131268	1.24E-05	7.70E-06	0	3.95E-05	4.52E-05	0	1.48E-05	2.74E-05	0.000150187	8.85E-06	6.53E-05	0.00120505	1.15E-05	3.08E-05	4.10E-05	4.61E-05	0.000178555	1.74E-05	7.38E-05	0.000362236	1.32E-05	0	0.000639144	0.000111832	1.80E-05	0.000277303	4.60E-05	4.17E-06	9.52E-06	7.07E-06	0.000369601	3.95E-05	6.46E-06	2.11E-05	0.000215659	0	0.000212515	3.91E-05	1.33E-05	0	5.07E-06	0	0	2.31E-05	0.000102962	6.45E-05	0.000263536	1.41E-05	0.000172087	0	8.30E-05	0.000164553	0	1.39E-05	2.25E-05	0.000250722	0.000102504	7.70E-05	0.000307749	0.000282142	0.000362693	0.000383682	5.49E-06	2.23E-05	0.000107472	0.000156218	2.45E-05	3.99E-05	0.000124441	4.38E-05	6.50E-05	0.000585195	0	0.000139543	7.23E-05	0	2.12E-05	7.38E-05	0	0	3.69E-05	6.22E-06	2.51E-05	1.68E-05	1.47E-05	3.56E-05
PWY0-1338: polymyxin resistance	0.0003742	3.20E-05	0.000279314	0.000118945	6.87E-05	0.000118799	0	0	4.63E-06	6.99E-05	3.35E-05	0	4.17E-05	0.000108088	1.66E-05	0.000160422	1.33E-05	0	0.000143169	0	5.58E-05	5.81E-05	0	0	5.98E-05	7.21E-05	0.000395581	0	0.000184532	3.79E-05	0.00035164	0.00206601	0.000127697	0.000235333	0.000141203	9.07E-05	1.25E-05	6.55E-05	0.000128986	0.00013695	0.000303137	1.88E-05	2.56E-05	3.50E-05	3.67E-05	0.000172254	0	0.000397912	0	4.50E-05	0.000557841	2.08E-05	0	6.21E-05	0.000121962	0	0.000127927	1.12E-05	0	0	2.77E-05	0.000147528	0	0	2.01E-05	0.00017445	0	8.71E-05	0.00120364	4.93E-05	0.000134191	0.00011681	9.33E-05	0.000394178	3.59E-05	9.93E-05	0.000353667	4.65E-05	7.02E-06	0.000551705	0.000368906	3.07E-05	0.000422134	6.66E-05	9.70E-06	2.81E-05	7.34E-06	0.000368473	2.66E-05	0.000133827	3.12E-05	0.000163966	7.20E-06	0.000402764	3.74E-05	5.63E-05	0	4.54E-05	0	0	5.27E-05	0.000362236	0.000130024	0.000532412	3.99E-05	0.000345393	1.64E-05	0.000185234	0.000249068	0	7.91E-06	2.77E-05	0.000528898	0.000120936	0.000105834	0.000370058	0.000511042	0.000295389	0.000831892	1.52E-05	4.98E-05	0.000197908	0.000218707	6.48E-05	7.11E-05	0.000328996	7.21E-05	0.00013646	0.000707971	6.52E-06	0.000449807	0.000137792	0	9.31E-05	0.000151655	0	0	9.81E-05	1.13E-05	6.50E-05	1.48E-05	0	7.08E-05
PWY0-1415: superpathway of heme b biosynthesis from uroporphyrinogen-III	0.000843242	0.000117443	0.000624312	0.000339993	9.17E-05	0.000255694	6.98E-05	0	0	0.000208439	0.000102083	3.13E-05	9.81E-05	0.000123214	9.86E-05	0.000372619	4.22E-05	3.05E-05	0.000479741	2.56E-05	0.000199535	0.000621605	0.000166479	0	0.000118716	0.000120125	0.000816481	0	0.000334804	0.00020236	0.000511657	0.00224144	0.000370801	0.00121256	0.000379406	0.000300244	4.22E-05	0.000189733	0.000270736	0.000270277	0.000771656	0.000153907	7.76E-05	0.000179341	0.000109981	0.00045327	1.46E-05	0.000656103	0.000610757	0.00013046	0.000799604	0	0	0.000254717	0.000321081	0	0.000440479	4.77E-05	0	0	9.03E-05	0.00016945	1.38E-05	1.89E-05	6.08E-05	0.000519039	2.55E-05	0.000160067	0.00251783	2.70E-05	0.000194123	0.000225659	0.000257288	0.00090858	0.000105152	1.07E-05	6.93E-05	0.000181426	3.66E-05	0.000960812	0.000649413	6.52E-05	0.000726201	3.23E-05	2.85E-05	0.000104729	7.29E-05	0.000875175	0.000177152	0.000178405	0.000384838	0.000360719	0	0.000498977	0.000105265	5.93E-05	8.15E-05	8.03E-05	9.35E-06	0.00027997	0.000142343	0.000747072	0.000349209	0.00108018	1.36E-05	0.000721381	2.81E-05	0.000163102	0.000492109	5.66E-05	2.12E-05	6.13E-05	0.00116386	0.000574193	0.000236388	0.000724831	0.000940479	0.000332362	0.00164075	3.89E-05	0.000263318	0.000528727	0.000550537	0.000164353	0.000178545	0.000729507	0.000206927	0.000421173	0.00111673	1.09E-05	0.000841617	0.000349709	9.97E-06	0.000184113	0.000255889	0	0	0.000249218	3.55E-05	0.000283751	5.04E-05	2.09E-05	0.000192294
PWY0-1477: ethanolamine utilization	0.00324657	0.000622744	0.00252758	0.00160715	0.00181987	0.0016515	0.00124325	0.000818514	9.03E-05	0.00198952	0.000899708	0.000305467	0.000823664	0.000712884	0.000152668	0.00116316	0.00042564	0.000783537	0.00131147	0.000162763	0.00368868	0.000373713	0.000723294	0.000566716	0.00129419	0.00103313	0.0028624	0.00134431	0.00105139	0.000512676	0.00199236	0.0067925	0.00108315	0.00455398	0.00151315	0.000579537	0.000595891	0.00103448	0.00073344	0.00262236	0.00161852	0.000216297	0.000373898	0.000286379	0.00141597	0.00215108	0.000752908	0.00218874	0.000132204	0.000787971	0.00186529	0.000803637	0.000351134	0.000332449	0.00196943	0.00130788	0.00094632	0.000175286	0.000726743	6.78E-05	0.00155223	0.00192423	0.00124367	0.000240551	0.000546306	0.00425052	0.00149252	0.00222883	0.00546482	0.000978674	0.00157669	0.0025948	0.00139653	0.00285933	0.000448216	0.000656103	0.000259964	0.00135682	0.000386531	0.00128664	0.00237551	0.000460044	0.00241812	0.000710544	0.000300729	0.000897386	0.000314815	0.00312254	0.00152423	0.00165524	0.00103844	0.000902653	0.000803858	0.000944639	0.00121729	0.000430805	2.77E-05	0.00060973	0.000367174	0.00113547	0.00199792	0.00251736	0.000797552	0.0029674	0.0011875	0.00239665	0.00195367	0.00113294	0.00177861	0.000227492	0.000418849	0.000692405	0.00282935	0.000908419	0.00150127	0.0020976	0.0029743	0.00109076	0.00541881	0.00143771	0.000271393	0.00271738	0.00125027	0.000407664	0.000321622	0.00179697	0.000789416	0.000995826	0.00350966	0.000513527	0.00308985	0.000914971	0.00102176	0.000932529	0.00109364	0.000636977	0.000140798	0.000936239	0.00180847	0.000553854	0.000829856	0.000358662	0.000948178
PWY0-1479: tRNA processing	0.00165716	0.000637953	0.00225145	0.00172815	0.00243374	0.000670887	0.00104334	0.000668542	0.000552669	0.00123783	0.00103118	0.000634392	0.000639498	0.000264169	0.000581436	0.00123112	0.000754355	0.00087305	0.00110096	0.000894835	0.00123521	0.00156704	0.00146267	0.000772219	0.00196	0.00127028	0.00186637	0.00155254	0.000920133	0.00101313	0.00163419	0.0033936	0.00144048	0.00277831	0.00185923	0.000867855	0.000634644	0.000537506	0.00145065	0.00222572	0.00201247	0.000591719	0.000713405	0.000989429	0.000983444	0.00178168	0.000730337	0.00135227	0.00138513	0.00109979	0.00148137	0.000910168	0.000794047	0.000350438	0.000751014	0.000617619	0.00151747	0.00106907	0.00081908	0.000434743	0.000935245	0.00142843	0.000861699	0.000676813	0.000276326	0.00118937	0.000322464	0.00109973	0.00360863	0.000702555	0.000752156	0.00309376	0.00130593	0.00226503	0.00370962	0.000258751	0.000891372	0.000188676	0.000980937	0.00233837	0.0018797	0.000851272	0.00213203	0.000764332	0.000852309	0.000916169	0.000139608	0.00175758	0.00121086	0.0015163	0.00100056	0.00102516	0.000761264	0.00139017	0.000754563	0.000432744	0.000499178	0.000660807	0.000388796	0.000742068	0.00113583	0.00204255	0.00103167	0.0027505	0.000708821	0.00168004	0.000911545	0.000755342	0.00171184	0.000439823	0.00129476	0.00109398	0.0029287	0.00184376	0.00189083	0.00223703	0.00235927	0.00126868	0.00334321	0.00182713	0.00178661	0.0025883	0.00193398	0.00181721	0.00275319	0.0018155	0.00188989	0.00116197	0.00238496	0.000337355	0.0019893	0.00116365	0.000670715	0.0010203	0.0011168	0.000120028	0.000452164	0.00335025	0.000745979	0.00160485	0.000629656	0.00127204	0.000948418
PWY0-1533: methylphosphonate degradation I	0.00015573	3.29E-06	6.31E-05	1.49E-05	4.75E-05	3.82E-05	2.77E-06	0	0	2.65E-05	3.38E-06	0	2.05E-05	3.05E-05	0	5.55E-05	0	0	1.96E-05	0	2.71E-06	1.57E-06	0	0	4.57E-06	1.50E-05	7.14E-05	0	3.32E-05	2.02E-05	2.30E-05	0.000296171	9.62E-05	0	5.02E-05	2.61E-06	7.03E-06	2.39E-06	2.25E-05	9.27E-06	0	3.72E-06	2.84E-06	7.05E-06	4.40E-06	9.88E-06	0	4.33E-05	1.26E-06	7.35E-06	0.000415671	9.31E-06	0	2.20E-05	3.13E-05	0	7.49E-06	1.56E-06	2.27E-06	0	1.21E-05	3.58E-06	0	0	0	0	1.49E-06	1.29E-05	0.00132391	2.44E-06	4.33E-05	6.35E-05	1.47E-05	0.000111473	0	4.99E-05	2.47E-05	1.73E-06	0	9.54E-05	3.41E-05	2.14E-06	3.90E-05	0	3.94E-06	1.30E-05	2.78E-06	0.000154191	2.87E-05	7.71E-06	0	6.89E-05	0	0.000225476	1.97E-05	2.44E-06	0	0	0	0	2.10E-05	0.000146018	2.40E-05	1.53E-05	0	8.42E-05	1.41E-06	0	6.60E-05	0	3.31E-06	1.60E-06	0	3.40E-06	7.07E-06	2.18E-05	0.00025916	0	6.32E-05	1.93E-06	0	0	3.40E-05	1.71E-06	4.31E-06	1.90E-05	0	4.39E-05	6.28E-05	0	0.000139615	5.85E-05	0	8.70E-06	3.78E-06	0	0	1.93E-05	6.10E-06	2.89E-06	8.90E-06	5.23E-06	1.68E-06
